1;я;я;PRON;_;Case=Nom|Number=Sing|Person=1;_;_;_;@pnn1971m-words#@pnn1971m#54.8#55.177
2;вот;вот;PART;_;_;_;_;_;@pnn1971m-words#@pnn1971m#55.177#55.554
3;щас;щас;ADV;_;_;_;_;_;@pnn1971m-words#@pnn1971m#55.554#55.931
4;в;в;ADP;_;_;_;_;_;@pnn1971m-words#@pnn1971m#55.931#56.308
5;руке;рука;NOUN;_;Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing;_;_;_;@pnn1971m-words#@pnn1971m#56.308#56.685
6;держу;держать;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@pnn1971m-words#@pnn1971m#56.685#57.062
7;карабин;карабин;NOUN;_;Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur;_;_;_;@pnn1971m-words#@pnn1971m#57.062#57.439
8;ROSSI;ROSSI;PROPN;_;Foreign=Yes;_;_;_;@pnn1971m-words#@pnn1971m#57.439#57.816
9;92;92;NUM;_;_;_;_;_;@pnn1971m-words#@pnn1971m#57.816#58.2
10;исключительно;исключительно;ADV;_;_;_;_;_;@pnn1971m-words#@pnn1971m#63.8#64.283
11;за;за;ADP;_;_;_;_;_;@pnn1971m-words#@pnn1971m#64.283#64.766
12;счет;счет;NOUN;_;Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing;_;_;_;@pnn1971m-words#@pnn1971m#64.766#65.249
13;использованиЯ;использование;NOUN;_;Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing;_;_;_;@pnn1971m-words#@pnn1971m#65.249#65.732
14;револьверных;револьверный;ADJ;_;Case=Gen|Degree=Pos|Number=Plur;_;_;_;@pnn1971m-words#@pnn1971m#65.732#66.215
15;боеприпасов;боеприпас;NOUN;_;Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur;_;_;_;@pnn1971m-words#@pnn1971m#66.215#66.7
16;то есть;то есть;ADV;_;_;_;_;_;@pnn1971m-words#@pnn1971m#67.9#68.194
17;те;тот;DET;_;Case=Nom|Number=Plur;_;_;_;@pnn1971m-words#@pnn1971m#68.488#68.782
18;боеприпасы;боеприпас;NOUN;_;Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur;_;_;_;@pnn1971m-words#@pnn1971m#68.782#69.076
19;/;/;PUNCT;_;_;_;_;_;@pnn1971m-words#@pnn1971m#69.076#69.37
20;которые;который;PRON;_;Case=Nom;_;_;_;@pnn1971m-words#@pnn1971m#69.37#69.664
21;используютсЯ;использовать;VERB;_;Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Pass;_;_;_;@pnn1971m-words#@pnn1971m#69.664#69.958
22;в;в;ADP;_;_;_;_;_;@pnn1971m-words#@pnn1971m#69.958#70.252
23;короткоствольном;короткоствольный;ADJ;_;Case=Loc|Degree=Pos|Gender=Neut|Number=Sing;_;_;_;@pnn1971m-words#@pnn1971m#70.252#70.546
24;оружии;оружие;NOUN;_;Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing;_;_;_;@pnn1971m-words#@pnn1971m#70.546#70.84
25;/;/;PUNCT;_;_;_;_;_;@pnn1971m-words#@pnn1971m#70.84#71.134
26;в;в;ADP;_;_;_;_;_;@pnn1971m-words#@pnn1971m#71.134#71.428
27;револьверах;револьвер;NOUN;_;Animacy=Inan|Case=Loc|Gender=Masc|Number=Plur;_;_;_;@pnn1971m-words#@pnn1971m#71.428#71.722
28;/;/;PUNCT;_;_;_;_;_;@pnn1971m-words#@pnn1971m#71.722#72.016
29;применЯютсЯ;применЯтьсЯ;VERB;_;Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Pass;_;_;_;@pnn1971m-words#@pnn1971m#72.016#72.31
30;и;и;CCONJ;_;_;_;_;_;@pnn1971m-words#@pnn1971m#72.31#72.604
31;в;в;ADP;_;_;_;_;_;@pnn1971m-words#@pnn1971m#72.604#72.898
32;карабине;карабина;NOUN;_;Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing;_;_;_;@pnn1971m-words#@pnn1971m#72.898#73.2
33;если;если;SCONJ;_;_;_;_;_;@pnn1971m-words#@pnn1971m#83.0#83.318
34;стрелЯли;стрелЯть;VERB;_;Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@pnn1971m-words#@pnn1971m#83.318#83.636
35;из;из;ADP;_;_;_;_;_;@pnn1971m-words#@pnn1971m#83.636#83.954
36;мощных;мощный;ADJ;_;Case=Gen|Degree=Pos|Number=Plur;_;_;_;@pnn1971m-words#@pnn1971m#83.954#84.272
37;револьверов;револьвер;NOUN;_;Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur;_;_;_;@pnn1971m-words#@pnn1971m#84.272#84.59
38;/;/;PUNCT;_;_;_;_;_;@pnn1971m-words#@pnn1971m#84.59#84.908
39;то;то;SCONJ;_;_;_;_;_;@pnn1971m-words#@pnn1971m#84.908#85.226
40;наверное;наверное;ADV;_;_;_;_;_;@pnn1971m-words#@pnn1971m#85.226#85.544
